"DateTime","DHI","DNI","Temperature","Pressure","Relative.Humidity","Wind.Speed","GHI"
"16-10-2011 20:00",0,0,28,1000,85.91,1.9,0
"28-02-2012 22:00",0,0,25,1000,82.89,3.5,0
"13-10-2012 20:00",0,0,28,1010,83.87,1.6,0
"29-04-2012 07:00",122,455,29,1000,87.91,2,301
"29-04-2014 14:00",230,657,32,1000,60.49,3.8,769
"23-05-2014 19:00",0,0,31,1000,65.78,4.2,0
"08-07-2012 15:00",230,502,33,990,50.98,1.6,571
"02-07-2012 09:00",339,155,31,1000,51.44,4.5,458
"16-03-2014 22:00",0,0,26,1010,82.06,2.2,0
"16-01-2014 23:00",0,0,23,1010,84.31,2.4,0
"22-03-2012 21:00",0,0,28,1010,77.47,2.8,0
"19-07-2011 09:00",195,633,31,1000,57.76,3.4,679
"10-07-2014 00:00",0,0,27,1000,80.4,3.9,0
"22-06-2011 04:00",0,0,27,1000,71.05,4.4,0
"14-07-2012 00:00",0,0,29,1000,78.17,1.7,0
"27-06-2011 01:00",0,0,28,1000,59.83,4.7,0
"01-07-2012 15:00",292,52,32,990,54.96,2.3,328
"05-10-2013 21:00",0,0,29,1000,72.83,2,0
"14-01-2014 07:00",86,96,24,1010,78.84,1.5,106
"11-01-2011 07:00",88,104,24,1010,85.77,2.9,109
"31-05-2011 11:00",252,674,35,1000,50.82,0.8,911
"23-11-2014 15:00",219,111,28,1000,66.16,2.6,271
"23-06-2012 18:00",1,0,33,1000,51.59,3.2,1
"04-09-2014 05:00",0,0,25,1000,90.28,2.7,0
"02-12-2014 04:00",0,0,24,1010,85.87,3.1,0
"18-06-2013 19:00",0,0,31,1000,59.82,4.4,0
"05-03-2011 23:00",0,0,25,1010,83.53,1.8,0
"03-01-2014 08:00",179,292,26,1010,74.16,2.1,301
"12-10-2014 10:00",419,49,31,1000,78.71,2.3,462
"26-08-2012 11:00",422,155,32,1000,60.33,3.4,575
"07-06-2013 13:00",206,713,34,1000,50.35,1.7,868
"24-08-2012 06:00",45,42,28,1000,80.59,1.5,51
"21-06-2013 05:00",0,0,28,1000,63.46,4.3,0
"13-02-2012 20:00",0,0,24,1010,81.29,2.6,0
"07-01-2012 09:00",220,496,28,1010,63.53,1.2,514
"13-11-2012 04:00",0,0,24,1010,82.57,2.6,0
"07-04-2011 04:00",0,0,26,1010,85.27,2.1,0
"05-03-2012 18:00",0,0,28,1000,64.34,2.9,0
"04-07-2012 14:00",266,526,38,990,32.45,3.1,704
"24-03-2012 13:00",252,742,38,1000,18.33,2.7,942
"26-07-2014 11:00",215,722,34,1000,46.61,3.2,920
"02-05-2013 20:00",0,0,29,1000,78.04,4.2,0
"19-09-2014 05:00",0,0,26,1000,86.91,2.4,0
"05-06-2012 14:00",208,659,40,990,28.44,2.3,748
"19-07-2011 06:00",46,4,28,1000,73.92,3.1,47
"11-09-2013 17:00",40,0,28,1000,83.29,0.9,40
"26-06-2013 00:00",0,0,29,1000,66.44,4.3,0
"09-06-2011 11:00",382,335,34,1000,53.19,3.1,708
"27-12-2012 16:00",126,95,27,1000,68.56,4.5,154
"17-05-2012 08:00",232,436,32,1000,68.16,2.1,501
"15-04-2012 06:00",47,17,28,1010,83.96,1.2,50
"09-08-2014 06:00",43,7,26,1000,77.03,2.5,44
"12-01-2012 07:00",84,250,25,1010,75.23,1.9,134
