"DateTime","DHI","DNI","Temperature","Pressure","Relative.Humidity","Wind.Speed","GHI","Hour","Month","DayOfYear","Predicted_GHI","Predicted_Power_W","Predicted_Energy_kWh","CO2_Saved_kg","Cumulative_CO2_Saved_kg"
"2013-03-29 11:00:00",220,785,35,1000,43.18,2.1,981,11,3,88,979.18,1057512.15,1057.51,867.16,4196893.72
"2012-07-15 14:00:00",371,104,32,1000,56.59,1.6,458,14,7,197,451.16,487249.54,487.25,399.54,2950338.12
"2014-12-09 09:00:00",254,491,28,1010,78.62,2.2,560,9,12,343,556.49,601009.06,601.01,492.83,7298621.42
"2011-03-09 22:00:00",0,0,25,1010,73.85,2.9,0,22,3,68,0.02,26.16,0.03,0.02,349037.03
"2011-06-01 05:00:00",0,0,28,1000,87.51,2.5,0,5,6,152,0.07,77.71,0.08,0.06,849042.84
"2014-12-11 22:00:00",0,0,25,1010,89.2,2.5,0,22,12,345,0.01,9.9,0.01,0.01,7309207.88
"2013-03-23 03:00:00",0,0,26,1000,76.8,2.8,0,3,3,82,-0.01,-13.07,-0.01,-0.01,4156821.33
"2012-05-04 15:00:00",240,460,34,1000,53.59,2.4,540,15,5,125,540.37,583595.05,583.6,478.55,2562338.21
"2013-03-24 09:00:00",267,527,34,1010,37.08,1.3,656,9,3,83,644.57,696136.6,696.14,570.83,4164408.38
"2011-02-15 13:00:00",227,750,31,1000,48.64,0.8,873,13,2,46,867.16,936530.93,936.53,767.96,224243.1
"2014-11-30 08:00:00",119,0,26,1010,75.11,4.1,119,8,11,334,112.67,121681.05,121.68,99.78,7262661.35
"2012-12-22 21:00:00",0,0,23,1010,81.33,3.7,0,21,12,357,0.01,15.98,0.02,0.01,3700690.18
"2011-05-09 15:00:00",208,544,36,1000,42.83,3.1,562,15,5,129,563.27,608333.01,608.33,498.83,717210.63
"2011-06-11 07:00:00",131,2,28,1000,78.4,2.7,132,7,6,162,133.28,143939.15,143.94,118.03,905192.19
"2011-06-12 07:00:00",127,0,29,1000,73.6,2.9,127,7,6,163,127.48,137678.15,137.68,112.9,909152.3
"2014-03-30 08:00:00",172,588,34,1000,32.77,1.7,501,8,3,89,495.82,535480.8,535.48,439.09,6017221.08
"2013-07-06 07:00:00",82,0,31,1000,61.94,3.5,82,7,7,187,83.06,89702.71,89.7,73.56,4751346.04
"2014-11-06 12:00:00",418,199,31,1000,55.59,2.9,590,12,11,310,599.16,647090.2,647.09,530.61,7169402.87
"2012-05-01 17:00:00",86,106,30,1000,83.01,3.1,108,17,5,122,108,116644.68,116.64,95.65,2544785.27
"2013-10-10 03:00:00",0,0,26,1000,92.73,1.6,0,3,10,283,0,-2.11,0,0,5209464.98
"2013-02-18 11:00:00",359,19,29,1000,72.79,2.3,376,11,2,49,377.44,407637.91,407.64,334.26,3966409.73
"2014-05-06 20:00:00",0,0,27,1010,88.41,1.7,0,20,5,126,0.07,76.92,0.08,0.06,6246167.49
"2012-04-12 11:00:00",297,639,32,1000,55.49,2.4,926,11,4,103,926.37,1000483.35,1000.48,820.4,2425927.69
"2013-03-09 04:00:00",0,0,26,1010,95.43,0.7,0,4,3,68,-0.04,-46.15,-0.05,-0.04,4070710.94
"2012-05-08 14:00:00",280,555,33,1000,56.83,2.8,735,14,5,129,741.02,800297.07,800.3,656.24,2585359.45
"2013-11-05 12:00:00",370,387,29,1010,73.47,3.5,705,12,11,309,713.9,771008.2,771.01,632.23,5323601.81
"2012-09-29 17:00:00",16,0,28,1000,77.7,1.9,16,17,9,273,16.61,17942.28,17.94,14.71,3335828.19
"2014-05-09 09:00:00",341,312,29,1000,82.41,3.7,588,9,5,129,582.13,628698.23,628.7,515.53,6257235.23
"2014-03-27 08:00:00",172,593,32,1010,39.23,0.6,500,8,3,86,497.44,537229.83,537.23,440.53,5998122.15
"2013-04-08 20:00:00",0,0,28,1000,84.02,3,0,20,4,98,0.03,35.26,0.04,0.03,4261551.31
"2012-05-26 08:00:00",243,365,32,1000,58.67,2.8,468,8,5,147,463.67,500766.65,500.77,410.63,2683621.78
"2014-07-21 09:00:00",260,474,32,1000,54.32,4.7,623,9,7,202,619.05,668576.89,668.58,548.23,6656586.21
"2014-06-19 06:00:00",41,0,28,1000,73.38,4.6,41,6,6,170,39.69,42865.07,42.87,35.15,6489565.35
"2014-07-11 05:00:00",0,0,26,1000,73.83,4.9,0,5,7,192,0.01,10.46,0.01,0.01,6607885.51
"2014-05-10 08:00:00",187,547,31,1000,71.14,2.5,523,8,5,130,515.78,557039.33,557.04,456.77,6262503.51
"2012-09-07 03:00:00",0,0,28,1000,84.45,2.5,0,3,9,251,0.08,91.08,0.09,0.07,3222584.47
"2011-01-08 06:00:00",0,0,24,1000,90.26,4,0,6,1,8,0.75,805.17,0.81,0.66,26471.37
"2012-02-09 18:00:00",0,0,26,1010,67.34,2.9,0,18,2,40,-0.03,-33.97,-0.03,-0.03,2062501.92
NA,0,0,26,1010,83.04,2,0,0,11,309,0,4.5,0,0,7382499.82
"2014-03-17 23:00:00",0,0,27,1010,85.09,1.2,0,23,3,76,0.02,18.99,0.02,0.02,5940733.24
"2014-06-02 18:00:00",0,0,31,1000,82.69,1.4,0,18,6,153,-0.64,-687.57,-0.69,-0.56,6404821.24
"2013-07-14 19:00:00",0,0,30,1000,70.1,2.3,0,19,7,195,0.15,162.19,0.16,0.13,4790529.7
"2013-10-29 06:00:00",34,2,27,1010,93.75,0.9,35,6,10,302,36.01,38888.28,38.89,31.89,5287518.26
"2012-06-24 13:00:00",249,601,36,1000,36.01,1.9,810,13,6,176,820.84,886511.05,886.51,726.94,2842687.27
"2012-11-04 05:00:00",0,0,26,1000,94.51,1.8,0,5,11,309,0,2.9,0,0,3485282.21
"2013-10-22 07:00:00",148,73,26,1000,93.64,2.2,174,7,10,295,172.99,186824.05,186.82,153.2,5263879.33
"2012-09-17 13:00:00",204,731,32,1000,62.39,1.5,871,13,9,261,883.32,953981.26,953.98,782.26,3277180.4
"2014-03-27 02:00:00",0,0,26,1000,85.9,1.2,0,2,3,86,-0.03,-27.06,-0.03,-0.02,5997439.87
"2012-09-01 21:00:00",0,0,29,1000,78.64,4.1,0,21,9,245,-0.09,-93.01,-0.09,-0.08,3198232.84
"2013-11-28 11:00:00",326,19,30,1010,64.06,1.3,342,11,11,332,333.74,360441,360.44,295.56,5420386.68
"2013-12-23 20:00:00",0,0,24,1010,74.13,3.6,0,20,12,357,0.01,15.98,0.02,0.01,5519301.02
"2011-08-16 12:00:00",251,661,31,1000,68.7,0.2,911,12,8,228,907.43,980027.16,980.03,803.62,1251439.6
"2012-07-31 11:00:00",264,604,38,1000,32.9,3.8,855,11,7,213,851.85,919998.37,920,754.4,3029643.57
"2014-10-25 15:00:00",225,26,28,1000,82.32,2.4,239,15,10,298,231.84,250390.1,250.39,205.32,7123220.46
"2013-01-26 18:00:00",0,0,25,1010,69.38,3.1,0,18,1,26,-0.05,-59.06,-0.06,-0.05,3853700.89
"2012-04-21 08:00:00",267,217,34,1000,39.74,0.8,398,8,4,112,402.02,434181.95,434.18,356.03,2478923.02
"2013-12-10 04:00:00",0,0,22,1000,83.42,3.6,0,4,12,344,0.02,22.74,0.02,0.02,5459375.37
NA,0,0,27,1000,86.8,3,0,0,10,285,0.06,67.62,0.07,0.06,7382499.15
"2011-09-08 03:00:00",0,0,26,1000,85,3.2,0,3,9,251,0.04,39.93,0.04,0.03,1360838.51
"2013-11-23 22:00:00",0,0,26,1010,88.01,2,0,22,11,327,0.01,6.97,0.01,0.01,5401231.67
"2011-09-14 08:00:00",257,230,29,1000,83.3,1.5,393,8,9,257,398.52,430403.17,430.4,352.93,1394842.25
"2013-08-05 19:00:00",0,0,28,1000,80.43,0.5,0,19,8,217,0.07,80.87,0.08,0.07,4891886.09
"2014-08-02 23:00:00",0,0,29,1000,73.12,4.4,0,23,8,214,-0.01,-6.34,-0.01,-0.01,6716059.42
"2013-02-06 14:00:00",186,736,32,1010,41.1,2.8,729,14,2,37,727.88,786105.59,786.11,644.61,3910151.74
"2012-01-19 12:00:00",179,843,30,1000,46.63,1.6,882,12,1,19,882.49,953084.64,953.08,781.53,1953110.92
"2012-05-19 02:00:00",0,0,28,1000,88.66,4.6,0,2,5,140,0.04,47.7,0.05,0.04,2643272.05
"2012-05-13 23:00:00",0,0,28,1000,84.93,2.5,0,23,5,134,0.03,35.4,0.04,0.03,2613857
NA,0,0,29,1000,75.46,1.3,0,0,7,194,-0.11,-122.9,-0.12,-0.1,7382501.44
"2011-06-07 17:00:00",95,82,32,1000,64.54,2.2,115,17,6,158,115.96,125239.99,125.24,102.7,887992.75
"2012-11-24 04:00:00",0,0,26,1000,83.03,1.2,0,4,11,329,-0.01,-10.22,-0.01,-0.01,3575963.7
"2011-06-01 22:00:00",0,0,29,1000,85.46,3.5,0,22,6,152,0.03,33.27,0.03,0.03,854528.44
"2014-08-27 23:00:00",0,0,26,1000,90.97,2.8,0,23,8,239,0.03,29.64,0.03,0.02,6843855.45
"2012-02-14 20:00:00",0,0,25,1010,80.61,2.7,0,20,2,45,-0.05,-53.33,-0.05,-0.04,2087790.94
"2013-10-27 12:00:00",375,382,29,1000,85.86,1.1,714,12,10,300,713.53,770608.81,770.61,631.9,5282536.58
"2014-11-10 14:00:00",281,381,30,1000,66.75,0.2,531,14,11,314,536.03,578913.42,578.91,474.71,7187992.04
"2013-08-07 10:00:00",348,20,33,1000,55.46,2.4,367,10,8,219,368.21,397669.3,397.67,326.09,4897908.9
"2012-11-28 12:00:00",223,698,30,1010,57.15,2.8,793,12,11,333,788.22,851277.44,851.28,698.05,3595207.17
"2011-12-03 14:00:00",191,617,29,1000,64.69,1.1,579,14,12,337,571.67,617401.8,617.4,506.27,1759177.26
"2014-05-07 21:00:00",0,0,28,1000,87.27,2.8,0,21,5,127,0.03,29.06,0.03,0.02,6250946.88
"2012-08-12 09:00:00",183,624,33,1000,47.99,2.9,663,9,8,225,640.41,691645.28,691.65,567.15,3085109.34
"2014-09-10 07:00:00",113,448,27,1000,85.37,2.5,278,7,9,253,287.68,310691.43,310.69,254.77,6905147.9
"2013-05-28 04:00:00",0,0,28,1000,76.07,3.3,0,4,5,148,0.09,93.14,0.09,0.08,4548085.29
"2011-07-20 02:00:00",0,0,28,1000,73.84,3.7,0,2,7,201,0.09,95.19,0.1,0.08,1110919.9
"2014-06-08 01:00:00",0,0,29,990,82.48,3.8,0,1,6,159,0.15,159.97,0.16,0.13,6433910.96
"2011-06-03 21:00:00",0,0,29,1000,81.76,3.6,0,21,6,154,0.03,33.27,0.03,0.03,865407.82
"2011-07-18 06:00:00",40,0,27,1000,70.75,3.6,40,6,7,199,37.93,40969.06,40.97,33.59,1100406.85
"2011-10-25 08:00:00",295,213,27,1010,88.57,1.7,414,8,10,298,412.28,445265.27,445.27,365.12,1606582.08
"2012-10-07 02:00:00",0,0,28,1000,90.6,0.7,0,2,10,281,0.06,59.45,0.06,0.05,3370817.63
"2014-01-27 04:00:00",0,0,23,1010,81.68,2.8,0,4,1,27,-0.15,-157.29,-0.16,-0.13,5672154.45
"2012-11-19 23:00:00",0,0,26,1010,89.3,2.5,0,23,11,324,0.02,24.75,0.02,0.02,3562868.89
"2011-11-11 08:00:00",159,574,28,1010,68.63,2.8,459,8,11,315,457.81,494437.9,494.44,405.44,1667544.65
"2011-05-31 02:00:00",0,0,27,1000,91.26,3.1,0,2,5,151,0.08,87.89,0.09,0.07,842959.69
"2014-08-09 23:00:00",0,0,27,1000,81.95,3.6,0,23,8,221,0.06,62.58,0.06,0.05,6750619.59
NA,0,0,26,1010,84.6,1.2,0,0,2,41,-0.12,-132.01,-0.13,-0.11,7382512.83
"2012-07-01 17:00:00",101,46,31,1000,62.34,2.8,113,17,7,183,109.57,118337.42,118.34,97.04,2879700.26
"2011-06-28 11:00:00",340,449,36,1000,34.06,4.2,776,11,6,179,766.81,828153.02,828.15,679.09,998829.82
"2012-08-26 15:00:00",297,201,32,1000,59.67,3.1,430,15,8,239,428.85,463163.18,463.16,379.79,3168196.28
"2011-09-28 06:00:00",47,72,28,1000,90.61,1.3,56,6,9,271,55.62,60074.01,60.07,49.26,1470787.1
"2013-10-26 09:00:00",332,231,28,1000,90.88,2.6,500,9,10,299,501.84,541982.29,541.98,444.43,5276777.85
"2011-03-22 09:00:00",196,701,34,1010,48.31,1.2,709,9,3,81,709.71,766486.82,766.49,628.52,423590.84
"2013-07-06 02:00:00",0,0,28,1000,76.37,3.1,0,2,7,187,0.08,87.89,0.09,0.07,4751242.09
"2013-11-01 08:00:00",163,566,28,1010,86.74,1.5,470,8,11,305,469.83,507414.57,507.41,416.08,5301048.77
"2013-08-23 16:00:00",196,93,31,1000,66.49,2,239,16,8,235,233.69,252389.95,252.39,206.96,4971848.03
"2011-01-08 03:00:00",0,0,24,1000,90.22,4,0,3,1,8,-0.14,-145.81,-0.15,-0.12,26470.95
"2013-02-10 23:00:00",0,0,25,1010,72.79,3.4,0,23,2,41,-0.05,-52.76,-0.05,-0.04,3932805.98
"2013-10-10 14:00:00",191,12,29,1000,75.51,0.5,200,14,10,283,222.09,239861.76,239.86,196.69,5213154.9
"2013-03-16 01:00:00",0,0,25,1010,92.83,1.4,0,1,3,75,-0.03,-27.06,-0.03,-0.02,4113422.47
NA,0,0,29,1000,72.01,2.7,0,0,7,187,-0.23,-247.79,-0.25,-0.2,7382493.95
"2012-04-28 18:00:00",0,0,30,1000,74.08,2.3,0,18,4,119,-0.12,-130.7,-0.13,-0.11,2526279.88
"2012-11-08 02:00:00",0,0,26,1000,92.38,0.7,0,2,11,313,0,-1.45,0,0,3504503.29
"2011-09-21 13:00:00",189,757,32,1000,63.6,3.3,876,13,9,264,879.72,950101.46,950.1,779.08,1433904.82
"2014-09-16 10:00:00",411,102,30,1000,76.31,2.7,504,10,9,259,507.07,547636.63,547.64,449.06,6938285.69
"2012-10-28 16:00:00",117,59,28,1000,79.75,4.3,134,16,10,302,133.76,144462.49,144.46,118.46,3465482.49
"2013-05-23 13:00:00",244,664,36,1000,44.89,2.8,862,13,5,143,869.27,938810.17,938.81,769.82,4524859.51
"2012-06-07 11:00:00",225,712,39,1000,30.07,2.7,919,11,6,159,921.18,994870.31,994.87,815.79,2752620.26
"2012-03-08 21:00:00",0,0,28,1000,62.37,3.6,0,21,3,68,0.05,50.5,0.05,0.04,2215034.5
"2014-06-09 12:00:00",398,60,33,1000,63.61,1.2,457,12,6,160,456.64,493172.47,493.17,404.4,6439157.99
"2013-09-21 14:00:00",214,656,31,1000,66.09,3.1,726,14,9,264,750.2,810213.05,810.21,664.37,5117187.57
"2012-04-09 20:00:00",0,0,28,1000,77.66,3.7,0,20,4,100,0.05,58.07,0.06,0.05,2410287.42
"2013-02-22 01:00:00",0,0,24,1010,85.42,2.1,0,1,2,53,-0.08,-87.83,-0.09,-0.07,3985657.47
"2012-02-19 02:00:00",0,0,25,1010,89.75,1.1,0,2,2,50,-0.1,-110.38,-0.11,-0.09,2110289.2
"2012-03-01 06:00:00",0,0,26,1000,83.65,2.9,0,6,3,61,0.88,945.37,0.95,0.78,2168630.83
"2014-11-25 22:00:00",0,0,24,1010,80.52,3.6,0,22,11,329,0.04,40.01,0.04,0.03,7250119.25
"2012-11-03 16:00:00",56,0,29,1000,77.98,2.2,56,16,11,308,57.81,62435.72,62.44,51.2,3485279.8
"2011-07-10 23:00:00",0,0,29,1000,70.04,4.3,0,23,7,191,0.13,137.21,0.14,0.11,1064167.82
"2012-06-19 10:00:00",383,325,29,1000,61.13,4.1,676,10,6,171,663.58,716664.38,716.66,587.66,2813268.61
"2013-04-12 18:00:00",0,0,29,1000,61.36,3.2,0,18,4,102,0.02,22.68,0.02,0.02,4286674.45
"2012-03-20 05:00:00",0,0,25,1000,85.6,3.4,0,5,3,80,0.01,13.94,0.01,0.01,2278723.52
"2013-03-28 17:00:00",85,154,31,1000,49.8,3.5,116,17,3,87,114.65,123817.42,123.82,101.53,4194104.76
"2011-03-14 20:00:00",0,0,26,1010,86.16,2.6,0,20,3,73,0.03,33.24,0.03,0.03,379056.65
NA,0,0,28,1000,86.44,2.7,0,0,4,118,0.06,65.94,0.07,0.05,7382492.7
"2013-07-25 23:00:00",0,0,27,1000,72.76,4.2,0,23,7,206,0.04,40.14,0.04,0.03,4832471.73
"2012-02-22 21:00:00",0,0,25,1010,76.64,2.1,0,21,2,53,-0.05,-53.82,-0.05,-0.04,2133537.72
"2012-08-21 23:00:00",0,0,28,1000,82,2.5,0,23,8,234,0.03,35.15,0.04,0.03,3141754.64
"2014-12-25 03:00:00",0,0,23,1010,89.56,2.3,0,3,12,359,-0.14,-151.02,-0.15,-0.12,7359121.28
"2013-09-08 05:00:00",0,0,26,1000,91.35,2.2,0,5,9,251,0.01,15.33,0.02,0.01,5056229.5
"2013-06-12 02:00:00",0,0,28,1000,64.79,5.1,0,2,6,163,0.11,123.17,0.12,0.1,4625065.92
"2013-08-14 05:00:00",0,0,26,1000,90.69,2.6,0,5,8,226,-0.03,-35.93,-0.04,-0.03,4925818.29
"2012-03-16 01:00:00",0,0,27,1010,88.56,1,0,1,3,76,0.04,47.8,0.05,0.04,2254339.68
"2012-11-05 19:00:00",0,0,26,1000,83.92,3.2,0,19,11,310,0.05,48.72,0.05,0.04,3495018.29
"2013-06-02 17:00:00",47,0,30,1000,74.94,2.1,47,17,6,153,47.3,51080.27,51.08,41.89,4578209.91
"2012-07-16 11:00:00",207,731,35,1000,44.14,0.9,918,11,7,198,921.52,995237.01,995.24,816.09,2953593
"2013-07-31 14:00:00",319,409,36,990,40.2,5.8,663,14,7,212,661.98,714936.47,714.94,586.25,4865308.72
"2012-02-04 02:00:00",0,0,23,1010,82.33,2.5,0,2,2,35,-0.1,-104.99,-0.1,-0.09,2031457.98
"2011-04-06 08:00:00",252,363,31,1010,58.1,3.6,461,8,4,96,456.03,492516.91,492.52,403.86,516921.44
"2013-04-10 07:00:00",152,316,31,1000,59.42,2.9,266,7,4,100,261,281882.08,281.88,231.14,4267994.8
"2011-06-13 17:00:00",64,0,31,1000,73.09,1.1,64,17,6,164,64.48,69636.62,69.64,57.1,918856.48
"2014-06-27 01:00:00",0,0,29,1000,78.88,3.1,0,1,6,178,0.15,159.97,0.16,0.13,6534814.65
"2013-11-24 22:00:00",0,0,26,1010,91.07,1,0,22,11,328,0,-2.21,0,0,5405222.63
"2011-08-15 16:00:00",139,499,31,1000,70.11,2,372,16,8,227,371.06,400742.72,400.74,328.61,1247645.82
"2013-06-19 10:00:00",203,704,34,1000,41.78,3.1,836,10,6,170,835.11,901916.94,901.92,739.57,4663179.64
"2012-06-28 04:00:00",0,0,27,1000,80.25,2.7,0,4,6,180,0.07,77.71,0.08,0.06,2858740.01
"2011-07-23 01:00:00",0,0,28,1000,76.29,3.3,0,1,7,204,0.08,87.94,0.09,0.07,1125613.05
"2012-02-13 01:00:00",0,0,24,1010,90.45,1.9,0,1,2,44,-0.1,-111.05,-0.11,-0.09,2077019.18
"2011-11-28 17:00:00",1,0,26,1000,87.41,2.5,1,17,11,332,1.82,1968.6,1.97,1.61,1738721.52
NA,0,0,26,1000,86.45,3.1,0,0,3,81,0.01,13.94,0.01,0.01,7382511.41
"2014-02-02 03:00:00",0,0,24,1010,84.81,2.2,0,3,2,33,-0.13,-137.49,-0.14,-0.11,5702999.62
"2014-11-07 01:00:00",0,0,27,1000,83.33,0.1,0,1,11,311,0.15,167.05,0.17,0.14,7171039.8
"2013-09-07 18:00:00",0,0,28,1000,86.16,1.2,0,18,9,250,0.07,72.08,0.07,0.06,5056229.16
"2011-01-18 08:00:00",149,511,26,1010,70.41,1,361,8,1,18,359.68,388457.69,388.46,318.54,73476.59
"2011-06-16 14:00:00",219,608,36,1000,43.72,4.6,719,14,6,167,717.65,775062.88,775.06,635.55,931584.04
"2013-10-22 12:00:00",383,31,28,1000,85.31,1.7,411,12,10,295,413.58,446665.36,446.67,366.27,5265449.12
"2014-12-05 16:00:00",121,212,26,1010,69.74,2.1,176,16,12,339,177.57,191780.49,191.78,157.26,7286402
"2013-03-24 14:00:00",204,736,35,1000,31.34,2.6,805,14,3,83,805.87,870340.52,870.34,713.68,4168463.89
"2014-07-10 10:00:00",410,46,30,1000,62.77,3.9,452,10,7,191,456.32,492824.36,492.82,404.12,6605976.88
"2014-12-07 13:00:00",190,4,29,1010,65.41,2.4,193,13,12,341,194.43,209985.94,209.99,172.19,7293315.55
"2014-07-29 20:00:00",0,0,31,1000,72.13,1.7,0,20,7,210,-0.18,-197.25,-0.2,-0.16,6699880.3
"2013-05-09 10:00:00",245,671,36,1000,48,1.8,862,10,5,129,859.8,928586.69,928.59,761.44,4442892.5
"2013-08-13 03:00:00",0,0,27,1000,87.92,1.9,0,3,8,225,0.11,122.63,0.12,0.1,4921206.71
"2011-02-10 04:00:00",0,0,24,1000,86.63,1,0,4,2,41,-0.12,-132.01,-0.13,-0.11,191994.2
"2011-07-18 03:00:00",0,0,27,1000,72.09,4.3,0,3,7,199,0.06,65.5,0.07,0.05,1100373.14
"2012-01-06 14:00:00",159,750,29,1010,62.17,1.6,654,14,1,6,658.3,710959.57,710.96,582.99,1892777.07
"2011-05-11 07:00:00",162,340,31,1000,64.84,2.8,300,7,5,131,300.56,324600.91,324.6,266.17,724163.72
"2013-01-08 15:00:00",176,556,29,1000,45.23,3.1,461,15,1,8,457.45,494042.22,494.04,405.11,3766902.92
"2011-02-13 01:00:00",0,0,25,1000,82.53,1,0,1,2,44,-0.12,-132.01,-0.13,-0.11,208811.55
"2014-01-18 02:00:00",0,0,24,1010,85.15,1.8,0,2,1,18,-0.19,-207.8,-0.21,-0.17,5628116.62
"2013-12-09 16:00:00",115,226,26,1000,69.42,3.6,174,16,12,343,180.34,194764.33,194.76,159.71,5459373.1
"2011-09-23 23:00:00",0,0,27,1000,67.75,2.7,0,23,9,266,0.16,173.41,0.17,0.14,1447407.14
"2013-12-25 13:00:00",349,383,27,1010,60.62,3,637,13,12,359,630.55,680995.11,681,558.42,5525973.93
"2014-10-23 10:00:00",142,0,30,1010,77.47,2.4,142,10,10,296,131.3,141800.71,141.8,116.28,7115282.93
"2013-11-06 14:00:00",185,652,29,1010,66.93,3.6,617,14,11,310,625.26,675280.74,675.28,553.73,5329449
"2011-09-03 15:00:00",274,311,30,1000,71.89,2.2,475,15,9,246,484.06,522786.21,522.79,428.68,1337854.58
"2014-03-15 12:00:00",233,790,37,1010,21.75,3,995,12,3,74,993.34,1072802.68,1072.8,879.7,5925733.37
"2011-10-04 02:00:00",0,0,27,1000,84.39,2.2,0,2,10,277,0.06,65.83,0.07,0.05,1501764.45
"2012-06-17 07:00:00",157,29,28,1000,70.4,2.3,169,7,6,169,169.43,182982.48,182.98,150.05,2804308.94
"2011-01-10 01:00:00",0,0,25,1000,92.41,3.5,0,1,1,10,-0.14,-145.81,-0.15,-0.12,34748.43
"2014-07-04 09:00:00",192,642,33,1000,45.75,3.6,684,9,7,185,679.72,734093.94,734.09,601.96,6575522.61
"2012-03-23 22:00:00",0,0,27,1010,75.93,2.8,0,22,3,83,0.02,26.07,0.03,0.02,2303397.91
NA,0,0,25,1010,86.92,1.7,0,0,12,347,-0.09,-95.72,-0.1,-0.08,7382503.51
