DateTime,DHI,DNI,Temperature,Pressure,Relative Humidity,Wind Speed,GHI
01-01-2011 00:00,0,0,25,1010,92.37,1.1,0
01-01-2011 01:00,0,0,25,1010,92.66,1.1,0
01-01-2011 02:00,0,0,25,1010,92.85,1.1,0
01-01-2011 03:00,0,0,25,1010,93.08,1,0
01-01-2011 04:00,0,0,25,1010,93.1,1,0
01-01-2011 05:00,0,0,26,1000,87.38,1.1,0
01-01-2011 06:00,0,0,26,1000,88.83,1.1,0
01-01-2011 07:00,82,259,26,1000,81.19,1.1,137
01-01-2011 08:00,140,492,27,1010,78.09,1.3,346
01-01-2011 09:00,173,618,28,1010,76.12,1.5,540
01-01-2011 10:00,192,688,28,1000,75.09,1.7,688
01-01-2011 11:00,201,720,28,1000,75.16,1.9,773
01-01-2011 12:00,396,109,28,1000,76.09,2,484
01-01-2011 13:00,374,93,28,1000,76.88,2.1,445
01-01-2011 14:00,312,322,27,1000,77.67,2.2,522
01-01-2011 15:00,195,457,27,1000,78.65,2.3,422
01-01-2011 16:00,110,370,26,1000,82.11,2.3,221
01-01-2011 17:00,20,0,25,1000,85.78,2.4,20
01-01-2011 18:00,0,0,25,1000,86.85,2.4,0
01-01-2011 19:00,0,0,25,1000,87.34,2.4,0
01-01-2011 20:00,0,0,25,1000,87.66,2.2,0
01-01-2011 21:00,0,0,25,1000,87.98,2,0
01-01-2011 22:00,0,0,25,1000,88.23,1.9,0
01-01-2011 23:00,0,0,25,1000,88.44,1.7,0
02-01-2011 00:00,0,0,25,1000,88.55,1.6,0
02-01-2011 01:00,0,0,25,1000,88.71,1.6,0
02-01-2011 02:00,0,0,25,1000,88.96,1.6,0
02-01-2011 03:00,0,0,25,1000,89.36,1.6,0
02-01-2011 04:00,0,0,25,1000,89.48,1.6,0
02-01-2011 05:00,0,0,25,1000,89.59,1.6,0
02-01-2011 06:00,0,0,25,1000,88.86,1.7,0
02-01-2011 07:00,81,256,26,1000,84.66,1.5,135
02-01-2011 08:00,140,489,28,1010,79.78,1.7,344
02-01-2011 09:00,173,617,28,1010,77.77,2,538
02-01-2011 10:00,192,687,29,1000,76.21,2.3,687
02-01-2011 11:00,287,589,29,1000,74.58,2.7,755
02-01-2011 12:00,402,139,29,1000,74.4,2.9,515
02-01-2011 13:00,375,94,28,1000,74.79,3.1,447
02-01-2011 14:00,239,22,28,1000,75.36,3.4,254
02-01-2011 15:00,241,144,27,1000,76.53,3.6,313
02-01-2011 16:00,52,0,26,1000,79.89,3.5,52
02-01-2011 17:00,7,0,26,1000,82.04,3.4,7
02-01-2011 18:00,0,0,25,1010,82.21,3.5,0
02-01-2011 19:00,0,0,25,1010,81.91,3.5,0
02-01-2011 20:00,0,0,25,1010,81.71,3.4,0
02-01-2011 21:00,0,0,25,1010,81.87,3.2,0
02-01-2011 22:00,0,0,25,1010,82.13,3,0
02-01-2011 23:00,0,0,25,1000,82.48,2.9,0
03-01-2011 00:00,0,0,25,1000,83,2.9,0
03-01-2011 01:00,0,0,25,1000,83.54,2.9,0
03-01-2011 02:00,0,0,25,1000,84.01,2.7,0
03-01-2011 03:00,0,0,25,1000,84.24,2.5,0
03-01-2011 04:00,0,0,25,1000,84.22,2.3,0
03-01-2011 05:00,0,0,25,1000,83.67,2.2,0
03-01-2011 06:00,0,0,25,1010,83.11,2.3,0
03-01-2011 07:00,89,181,26,1010,79.69,2.2,127
03-01-2011 08:00,170,388,27,1010,72.99,2.6,332
03-01-2011 09:00,174,624,28,1010,69.51,2.8,544
03-01-2011 10:00,256,582,28,1010,67.48,2.9,676
03-01-2011 11:00,358,398,29,1010,66.23,2.9,675
03-01-2011 12:00,291,573,29,1000,65.38,3,754
03-01-2011 13:00,198,714,28,1000,65.79,3,741
03-01-2011 14:00,315,363,28,1000,66.91,3,553
03-01-2011 15:00,204,30,27,1000,69.48,3.1,219
03-01-2011 16:00,143,238,26,1000,75.13,2.9,216
03-01-2011 17:00,10,0,25,1010,78.67,2.9,10
03-01-2011 18:00,0,0,25,1010,79.94,3,0
03-01-2011 19:00,0,0,25,1010,80.44,3,0
03-01-2011 20:00,0,0,25,1010,80.84,3,0
03-01-2011 21:00,0,0,25,1010,81.23,3,0
03-01-2011 22:00,0,0,26,1010,81.89,3,0
03-01-2011 23:00,0,0,25,1010,82.77,3,0
04-01-2011 00:00,0,0,25,1000,83.39,3,0
04-01-2011 01:00,0,0,25,1000,84.25,3,0
04-01-2011 02:00,0,0,25,1000,84.68,3,0
04-01-2011 03:00,0,0,25,1000,85.1,3.1,0
04-01-2011 04:00,0,0,25,1000,85.35,3.1,0
04-01-2011 05:00,0,0,25,1000,85.27,3.1,0
