DateTime,DHI,DNI,Temperature,Pressure,Relative.Humidity,Wind.Speed,GHI,Hour,Month,DayOfYear,Predicted_GHI,Predicted_Power_W,Predicted_Energy_kWh,CO2_Saved_kg,Cumulative_CO2_Saved_kg
01-01-2011,0,0,25,1010,92.37,1.1,0,0,1,1,0.064953163,70.14941633,0.070149416,0.057522521,0.057522521
01-01-2011 01:00,0,0,25,1010,92.66,1.1,0,1,1,1,0.064953163,70.14941633,0.070149416,0.057522521,0.115045043
01-01-2011 02:00,0,0,25,1010,92.85,1.1,0,2,1,1,0.064953163,70.14941633,0.070149416,0.057522521,0.172567564
01-01-2011 03:00,0,0,25,1010,93.08,1,0,3,1,1,0.032531824,35.13436988,0.03513437,0.028810183,0.201377747
01-01-2011 04:00,0,0,25,1010,93.1,1,0,4,1,1,0.032531824,35.13436988,0.03513437,0.028810183,0.230187931
01-01-2011 05:00,0,0,26,1000,87.38,1.1,0,5,1,1,0.064953163,70.14941633,0.070149416,0.057522521,0.287710452
01-01-2011 06:00,0,0,26,1000,88.83,1.1,0,6,1,1,0.064953163,70.14941633,0.070149416,0.057522521,0.345232974
01-01-2011 07:00,82,259,26,1000,81.19,1.1,137,7,1,1,132.8361664,143463.0597,143.4630597,117.6397089,117.9849419
01-01-2011 08:00,140,492,27,1010,78.09,1.3,346,8,1,1,341.4752808,368793.3032,368.7933032,302.4105086,420.3954506
01-01-2011 09:00,173,618,28,1010,76.12,1.5,540,9,1,1,541.3775635,584687.7686,584.6877686,479.4439702,899.8394208
01-01-2011 10:00,192,688,28,1000,75.09,1.7,688,10,1,1,682.4352417,737030.061,737.030061,604.36465,1504.204071
01-01-2011 11:00,201,720,28,1000,75.16,1.9,773,11,1,1,774.1287842,836059.0869,836.0590869,685.5684513,2189.772522
01-01-2011 12:00,396,109,28,1000,76.09,2,484,12,1,1,485.6202087,524469.8254,524.4698254,430.0652569,2619.837779
01-01-2011 13:00,374,93,28,1000,76.88,2.1,445,13,1,1,446.1257629,481815.824,481.815824,395.0889757,3014.926755
01-01-2011 14:00,312,322,27,1000,77.67,2.2,522,14,1,1,521.5335693,563256.2549,563.2562549,461.870129,3476.796884
01-01-2011 15:00,195,457,27,1000,78.65,2.3,422,15,1,1,421.3812256,455091.7236,455.0917236,373.1752134,3849.972097
01-01-2011 16:00,110,370,26,1000,82.11,2.3,221,16,1,1,217.924469,235358.4265,235.3584265,192.9939097,4042.966007
01-01-2011 17:00,20,0,25,1000,85.78,2.4,20,17,1,1,20.73158836,22390.11543,22.39011543,18.35989465,4061.325901
01-01-2011 18:00,0,0,25,1000,86.85,2.4,0,18,1,1,0.006278791,6.781094782,0.006781095,0.005560498,4061.331462
01-01-2011 19:00,0,0,25,1000,87.34,2.4,0,19,1,1,0.006278791,6.781094782,0.006781095,0.005560498,4061.337022
01-01-2011 20:00,0,0,25,1000,87.66,2.2,0,20,1,1,0.006278791,6.781094782,0.006781095,0.005560498,4061.342583
01-01-2011 21:00,0,0,25,1000,87.98,2,0,21,1,1,0.006278791,6.781094782,0.006781095,0.005560498,4061.348143
01-01-2011 22:00,0,0,25,1000,88.23,1.9,0,22,1,1,0.006278791,6.781094782,0.006781095,0.005560498,4061.353704
01-01-2011 23:00,0,0,25,1000,88.44,1.7,0,23,1,1,0.042109448,45.47820434,0.045478204,0.037292128,4061.390996
02-01-2011,0,0,25,1000,88.55,1.6,0,0,1,2,0.06701275,72.37376958,0.07237377,0.059346491,4061.450343
